asin,title,title_score,thumbnail_score,price_score,trust_score,position_score,search_score,search_rank
B0CQQ9W4BF,"Bealife Esstisch mit 4 Stühlen Set, Esstisch und Stühle für 4 Personen, Esszimmer 6 Stühle und Tisch, Set mit Esstisch und Stühlen für Küche, Esszimmer und Wohnzimmer (Schwarz, 4stühle)",60.11,66.11,44.0,71.91,25.31,58.37,73.0
B0D962W8TP,"Esszimmerstühle 4er Set mit Armlehne, Polsterstuhl Samt, Küchenstuhl mit stabilen Metallbeinen & verstellbaren Fußkappen, Armlehnenstuhl modern für Esszimmer & Wohnzimmer, Dunkelgrau",58.54,67.39,47.0,75.58,22.63,59.28,64.0
B0FRFNKNB1,"LEWE Essgruppen Esstisch mit 4 Stühlen, 140 x 80 x 76 cm Rechteckig Esstisch aus Holz mit 4 Esszimmerstühle, 360°Drehstuhl, Gepolstert, Breitere Sitzfläche, für Küche Esszimmer, Wohnzimmer,Dunkelgrau",60.78,73.11,4.0,65.03,22.45,52.98,87.0
B0GYXYYQZZ,"ELUCHANG Esszimmerstühle 4er Set, 360°Drehbar, Mehrschichtiger Dicker Schaumstoff Stuhl mit Hohen Armlehnen, Grau Samt, Gekreuztes Metallgestell bis 150KG Belastbar, für Schlafzimmer Küche Wohnzimmer",68.75,96.65,9.0,65.59,22.01,62.85,40.0
B0D2PSLT9F,"HOMCOM 3er-Set Essgruppe, Esstisch mit 2 Stühle, Esszimmergruppe für 2 Personen, Küchentisch-Set, Tischgruppe für Wohnzimmer, Küche, Platzsparend Weiß, Kiefernholz",57.37,65.95,37.0,48.02,22.12,51.49,93.0
B0CTSXTGPF,"HOMCOM Essgruppe Esstisch mit 4 Stühlen Platzsparend Esszimmergruppe Sitzgruppe Küchentisch-Set für Esszimmer, Küche Weiß",46.73,74.78,55.0,57.69,22.06,56.11,77.0
B0GWM467TJ,"Essgruppen Esstisch mit 4 dunkelgrau Stühlen,140 x 80 x 76 cm Dunkelbraun Rechteckig Esstisch aus Holz mit Esszimmerstühle mit technisches Tuch,für Küche Esszimmer und Wohnzimmer",54.82,79.32,16.0,68.34,24.73,56.04,78.0
B08QM8VTMW,Casaria® Esstisch mit 4 Stühlen Holz 5-TLG Set Metall 110x70cm Industrial Esszimmer Küche Stühle Tisch Möbel Essgruppe Sitzgruppe Paul Weiß,60.37,73.67,53.0,77.03,22.17,62.77,41.0
B08GYPL6X9,"SONGMICS Esszimmerstuhl, 2er Set, Küchenstuhl, Sessel, Samt, Polsterstuhl mit Armlehnen, Loungesessel, bis 120 kg belastbar, Metallbeine, für Esszimmer, Küche, grau-tintenschwarz LDC087G02",55.0,75.95,61.0,80.59,24.52,64.25,37.0
B0GHWMPHZZ,"Esstisch und Stuhlset, 100 cm Runder Esstisch und 4 Moderne Leinenstühle, für Esszimmer, Küche, Wohnzimmer (Helle + Khaki)",58.46,77.81,26.0,38.41,24.23,51.96,91.0
B0F8N5NND2,"JIJIAN Esszimmerstühle 6er Set, Stühle Esszimmer, Küchenstühle, Wohnzimmer Essstühle, Gepolsterte Stühle, Ergonomisch Gestaltete Leinenstühle für Esszimmer, Küche, Schlafzimmer, Rezeption, Schwarz",43.66,93.29,33.0,70.91,24.63,60.5,53.0
B08H254XCB,"H.J WeDoo Esszimmergruppe mit 4 Essstühlen, Rechteckig Esstisch und Stühle für Esszimmer, Küche, Wohnzimmer, Weißer Esstisch und Graue Stühle",57.37,81.61,54.0,70.02,24.84,63.41,39.0
B0C7KC7R6Y,"Esstisch mit 4 Stühlen, Essgruppe Kiefer Holz für Esszimmer, Küche, Wohnzimmer, Grau und Weiß, AAAA01 | 5-teiliges Esszimmer-Set aus massivem Kiefernholz: 1 Esstisch und 4 Stühle für Küche und Esszimmer",55.46,58.55,40.0,61.8,24.14,52.2,90.0
B079DT9THL,"tectake Essgruppe Set Tisch und Stühle, Esstisch und 4X Stuhl, strapazierfähiges Kunstleder, Tischplatte aus Sicherheitsglas, Küchenstühle modern, Küche - weiß",69.04,60.68,60.0,80.06,22.39,62.71,42.0
B0CP26X29W,"LEADZM küchenstühle 6er Set Esszimmerstühle mit hoher Rückenlehne wasserdicht für Esszimmer & Küche Esszimmerstuhl Stühle 120kg (Schwarz, 6er Set)",59.67,63.9,78.0,67.48,25.07,61.79,45.0
B0CV52J8FT,"Esszimmerstühle 4er Set, für Schlafzimmer Küche Wohnzimmer, Küchenstühle gepolstert mit Rückenlehne Metallbeinen, Sitzfläche aus Samt, Schwarz",59.74,79.26,70.0,72.7,24.33,66.19,27.0
B0DXKPFSVL,"Esszimmerstühle 2er Set Grau mit Samtbezug | Federkern, 360° Drehbar, Retrostil, PVC-frei & Oeko-TEX Zertifiziert, Einfache Montage",65.98,82.26,12.0,69.22,22.22,59.04,66.0
B094CCD82B,"Yaheetech Esszimmerstühle 2er Set Küchenstuhl Polsterstuhl mit hoher Rückenlehne, Beine aus Massivholz, gepolsterte Sitzfläche aus Leinen Dunkelgrau",60.73,79.97,86.0,74.16,24.95,69.4,12.0
B0C4LFRBDB,"VASAGLE Esszimmerstühle, Küchenstühle, 4er Set, Metallrahmen, für Esszimmer, Wohnzimmer, Küche, vintagebraun-tintenschwarz LDC093K02",60.7,37.11,87.0,79.7,22.28,57.53,75.0
B0C26WMM1T,"Yaheetech Esszimmerstuhl modern, Küchenstuhl in Blumenform, Sessel Polsterstuhl mit Metallbeinen Gold, für Wohnzimmer/Esszimmer Rosa",62.67,59.57,99.0,74.83,22.33,65.59,32.0
B0GVY9DP57,"MALOL Esszimmerstühle 2er Set, Moderne Polsterstühle mit Holzbeinen in Dunkelbraun, Stoff-Essstühle mit Stabiler Rückenlehne, Beige Geeignet für Esszimmer, Küche und Gastronomie",70.11,86.4,49.0,66.76,23.87,66.54,23.0
B085J2L82B,"WOLTU Esszimmerstühle 4er Set, für Wohnzimmer Küche Esszimmer, Küchenstühle gepolstert mit Rückenlehne, Sitzfläche aus Kunstleder, mit Metallbeinen, bis 150 kg belastbar, Hellbraun",59.38,79.63,56.0,76.59,21.62,64.61,36.0
B0FRSHGBY3,"Mondeer Esstisch mit 4 Stühlen Set, Essgruppe mit Hochlehner Kunstleder Stuhl für Küche Esszimmer Wohnzimmer, W120 x D80 x H75 cm, Weiß und Eiche",59.34,66.72,43.0,62.45,21.81,55.97,81.0
B0FGXXVF7J,"BonVache 6er Set Esszimmerstühle, Kunstleder Polsterstuhl Armlehnenstuhl Stühle, Küchenstuhl mit Rückenlehne, Armlehnenstuhl mit Metallbeinen, Sessel für Esszimmer, Wohnzimmer, Taupe",56.28,84.69,21.0,57.21,24.04,56.47,76.0
