asin,image_type,image_index,image_url
B01KO2I7XU,a_plus,23,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/94ef8d61-4210-494b-9848-a273bc82bffd.__CR0,211,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,24,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6ca54450-112e-4a54-91c9-8b7477e331c1.__CR0,238,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,25,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/97219d8e-27c3-4e6f-98c7-1e3fd029cf8f.__CR0,260,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,26,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/79e92272-fa90-4a40-91ec-b537d07587e9.__CR0,238,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,27,https://www.amazon.de/dp/B01KO2I7XU?ref=emc_p_m_13_b
B01KO2I7XU,a_plus,28,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/c2bbe6c0-e0fe-4ba2-b49d-561fabccbe6e.__CR0,293,1920,787_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,29,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/8f244365-cf74-4eec-a117-a8b71ee163df.__CR0,404,1500,615_PT0_SX1464_V1___.png"
B01KO2I7XU,a_plus,30,https://www.amazon.de/dp/B0DLZTCVB6?ref=emc_p_m_13_b
B01KO2I7XU,a_plus,31,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/3cd76ac0-ce0a-4588-8856-4fda0c784bbb.__CR0,566,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,32,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/70d49b5b-3fb7-48c7-92a4-918cfcaacd7d.__CR0,685,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,33,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/004676a1-d3ce-4cf4-98b9-90933979795b.__CR0,585,1500,615_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,34,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/81528471-3571-4f8b-9c63-5b22795b1836.__CR0,161,1920,787_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,high_resolution,0,https://m.media-amazon.com/images/I/61bkLLTzvML._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,1,https://m.media-amazon.com/images/I/71wBGLCmNWL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,2,https://m.media-amazon.com/images/I/61BoWdy7FZL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,3,https://m.media-amazon.com/images/I/61a9kTf2frL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,4,https://m.media-amazon.com/images/I/71svT3-NusL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,5,https://m.media-amazon.com/images/I/61hgb8P7+gL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,6,https://m.media-amazon.com/images/I/71mcFWisHkL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,7,https://m.media-amazon.com/images/I/61ic5762pBL._AC_SL1500_.jpg
B0F1Y4F3PS,high_resolution,8,https://m.media-amazon.com/images/I/61f4bfHlAjL._AC_SL1500_.jpg
B0F1Y4F3PS,a_plus,0,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/084c9466-e88d-4828-b817-a0d255c3f8c3.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,1,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/76bec0e5-2d46-421c-9c15-3ecf9dc75d45.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,2,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/519175ab-fb65-41ae-9439-a34e4448e699.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,3,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/2b9738f2-5c92-452e-9223-5ead88821ddc.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,4,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/084c9466-e88d-4828-b817-a0d255c3f8c3.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,5,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/76bec0e5-2d46-421c-9c15-3ecf9dc75d45.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,6,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/519175ab-fb65-41ae-9439-a34e4448e699.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0F1Y4F3PS,a_plus,7,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/2b9738f2-5c92-452e-9223-5ead88821ddc.__CR0,0,2928,1200_PT0_SX1464_V1___.jpg"
B0FVLQMK31,high_resolution,0,https://m.media-amazon.com/images/I/81ZikIE4FPL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,1,https://m.media-amazon.com/images/I/61VCUmIV4UL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,2,https://m.media-amazon.com/images/I/81PD53dWNrL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,3,https://m.media-amazon.com/images/I/71ESDlQMBdL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,4,https://m.media-amazon.com/images/I/71qeZ-ZRLrL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,5,https://m.media-amazon.com/images/I/719WdkehsRL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,6,https://m.media-amazon.com/images/I/813QZR2WsKL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,7,https://m.media-amazon.com/images/I/71FRGv5GwEL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,8,https://m.media-amazon.com/images/I/81Q+JUmxNpL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,9,https://m.media-amazon.com/images/I/61YmbCL7LtL._AC_SL1500_.jpg
B0FVLQMK31,high_resolution,10,https://m.media-amazon.com/images/I/71flCinQkKL._AC_SL1500_.jpg
B0FVLQMK31,a_plus,0,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/8320449d-2c97-4592-9497-e37184fb3497.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,1,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/18bd8c40-938b-4b14-903b-7f88b3e5a3f5.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,2,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/89cd1e95-0231-4641-bac8-1d96c76817e3.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,3,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/dc30321f-2ffd-4550-befc-877ec1867420.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,4,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a84dffe7-5f38-4eb6-b66f-e3956f816c83.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,5,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/617ceb3e-6283-48a3-9670-c853189bdd82.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,6,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/09725d55-4781-4f44-8f81-9ab74df8bd14.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B0FVLQMK31,a_plus,7,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/708c84bf-ae57-4812-9777-ba90fe2db696.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
